x,y,z
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
-8.03,121.51,-60.68
